"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",239,3000,3700,5700,9500,16000,16000,17000,17000,17570
"GET /api/v1/emissions/",248,3400,4300,6000,12000,16000,17000,18000,18000,18372
"POST /api/v1/emissions/",6617,6300,15000,16000,16000,16000,17000,17000,18000,21107
"GET /api/v1/emissions/vehicles/1cc2ed4f-4372-4854-b70c-3206c096b6e9",69,3500,4800,6200,14000,17000,17000,17000,18000,18335
"GET /api/v1/emissions/vehicles/46c791af-0ad0-4e65-9941-bbd8f6156acd",72,3400,4600,6900,15000,16000,17000,17000,18000,17899
"GET /api/v1/emissions/vehicles/b25e7f2c-d34e-4c6f-b4cc-c4fdb7ceecd6",70,3200,4200,4500,5600,17000,17000,18000,18000,18473
"GET /api/v1/emissions/vehicles/edfde841-177c-4ad9-b640-fbab1404ac79",64,3100,4500,6800,15000,17000,17000,18000,19000,18515
"GET /api/v1/emissions/vehicles/type/bus",76,3400,4600,5800,6100,17000,17000,17000,18000,17841
"GET /api/v1/emissions/vehicles/type/taxi",58,4200,6800,12000,15000,17000,17000,17000,18000,17855
"GET /api/v1/emissions/vehicles/type/train",55,3700,5200,6800,14000,16000,17000,17000,17000,17199
"GET /api/v1/emissions/vehicles/type/tram",53,3500,4100,4800,5200,6400,17000,17000,18000,18030
"None Total",7621,4800,14000,16000,16000,16000,17000,17000,18000,21107
